Keycontrol_PE(
  (FeedForward): Sequential(
    (0): Linear(in_features=1, out_features=160, bias=True)
    (1): GELU(approximate='none')
    (2): Linear(in_features=160, out_features=160, bias=True)
    (3): GELU(approximate='none')
  )
  (out): Linear(in_features=160, out_features=160, bias=True)
  (Pe): PositionalEncoding()
)
Params: 0.05184M
[2024/03/06 21:55:26] Rank:None, Epoch[1/1200], Step [1/132], lr:1.00e-04 loss: 0.5111924409866333
[2024/03/06 21:55:26] Rank:None, Epoch[1/1200], Step [51/132], lr:1.00e-04 loss: 0.5006973147392273
[2024/03/06 21:55:27] Rank:None, Epoch[1/1200], Step [101/132], lr:1.00e-04 loss: 0.5001160502433777
[2024/03/06 21:55:27] Rank:None, Epoch[1/1200], Step [132/132], lr:1.00e-04 loss: 0.4986647665500641
[2024/03/06 21:55:29] Rank:None, Epoch[2/1200], Step [1/132], lr:1.00e-04 loss: 0.4944430887699127
[2024/03/06 21:55:30] Rank:None, Epoch[2/1200], Step [51/132], lr:1.00e-04 loss: 0.5038149952888489
[2024/03/06 21:55:30] Rank:None, Epoch[2/1200], Step [101/132], lr:1.00e-04 loss: 0.49503374099731445
[2024/03/06 21:55:30] Rank:None, Epoch[2/1200], Step [132/132], lr:1.00e-04 loss: 0.48809003829956055
[2024/03/06 21:55:33] Rank:None, Epoch[3/1200], Step [1/132], lr:1.00e-04 loss: 0.4971919059753418
[2024/03/06 21:55:33] Rank:None, Epoch[3/1200], Step [51/132], lr:1.00e-04 loss: 0.4798955023288727
[2024/03/06 21:55:34] Rank:None, Epoch[3/1200], Step [101/132], lr:1.00e-04 loss: 0.4918789863586426
[2024/03/06 21:55:34] Rank:None, Epoch[3/1200], Step [132/132], lr:1.00e-04 loss: 0.487479031085968
[2024/03/06 21:55:36] Rank:None, Epoch[4/1200], Step [1/132], lr:1.00e-04 loss: 0.4883394241333008
[2024/03/06 21:55:37] Rank:None, Epoch[4/1200], Step [51/132], lr:1.00e-04 loss: 0.4924670159816742
[2024/03/06 21:55:37] Rank:None, Epoch[4/1200], Step [101/132], lr:1.00e-04 loss: 0.4937741458415985
[2024/03/06 21:55:37] Rank:None, Epoch[4/1200], Step [132/132], lr:1.00e-04 loss: 0.49156227707862854
[2024/03/06 21:55:40] Rank:None, Epoch[5/1200], Step [1/132], lr:1.00e-04 loss: 0.4686461389064789
[2024/03/06 21:55:40] Rank:None, Epoch[5/1200], Step [51/132], lr:1.00e-04 loss: 0.4881616532802582
[2024/03/06 21:55:40] Rank:None, Epoch[5/1200], Step [101/132], lr:1.00e-04 loss: 0.4826723039150238
[2024/03/06 21:55:41] Rank:None, Epoch[5/1200], Step [132/132], lr:1.00e-04 loss: 0.4762379825115204
[2024/03/06 21:55:43] Rank:None, Epoch[6/1200], Step [1/132], lr:1.00e-04 loss: 0.4826476573944092
[2024/03/06 21:55:43] Rank:None, Epoch[6/1200], Step [51/132], lr:1.00e-04 loss: 0.47942662239074707
[2024/03/06 21:55:44] Rank:None, Epoch[6/1200], Step [101/132], lr:1.00e-04 loss: 0.4814208149909973
[2024/03/06 21:55:44] Rank:None, Epoch[6/1200], Step [132/132], lr:1.00e-04 loss: 0.4770112931728363
[2024/03/06 21:55:46] Rank:None, Epoch[7/1200], Step [1/132], lr:1.00e-04 loss: 0.474102258682251
[2024/03/06 21:55:47] Rank:None, Epoch[7/1200], Step [51/132], lr:1.00e-04 loss: 0.47692614793777466
[2024/03/06 21:55:48] Rank:None, Epoch[7/1200], Step [101/132], lr:1.00e-04 loss: 0.47977423667907715
[2024/03/06 21:55:48] Rank:None, Epoch[7/1200], Step [132/132], lr:1.00e-04 loss: 0.4842364490032196
[2024/03/06 21:55:50] Rank:None, Epoch[8/1200], Step [1/132], lr:1.00e-04 loss: 0.4756896495819092
[2024/03/06 21:55:51] Rank:None, Epoch[8/1200], Step [51/132], lr:1.00e-04 loss: 0.4695243835449219
[2024/03/06 21:55:51] Rank:None, Epoch[8/1200], Step [101/132], lr:1.00e-04 loss: 0.4829864501953125
[2024/03/06 21:55:51] Rank:None, Epoch[8/1200], Step [132/132], lr:1.00e-04 loss: 0.4797706604003906
[2024/03/06 21:55:54] Rank:None, Epoch[9/1200], Step [1/132], lr:1.00e-04 loss: 0.47318440675735474
[2024/03/06 21:55:54] Rank:None, Epoch[9/1200], Step [51/132], lr:1.00e-04 loss: 0.47244343161582947
[2024/03/06 21:55:55] Rank:None, Epoch[9/1200], Step [101/132], lr:1.00e-04 loss: 0.4737592339515686
[2024/03/06 21:55:55] Rank:None, Epoch[9/1200], Step [132/132], lr:1.00e-04 loss: 0.4839881360530853
[2024/03/06 21:55:57] Rank:None, Epoch[10/1200], Step [1/132], lr:1.00e-04 loss: 0.47038570046424866
[2024/03/06 21:55:58] Rank:None, Epoch[10/1200], Step [51/132], lr:1.00e-04 loss: 0.4771147668361664
[2024/03/06 21:55:58] Rank:None, Epoch[10/1200], Step [101/132], lr:1.00e-04 loss: 0.47218021750450134
[2024/03/06 21:55:58] Rank:None, Epoch[10/1200], Step [132/132], lr:1.00e-04 loss: 0.48892202973365784
[2024/03/06 21:56:01] Rank:None, Epoch[11/1200], Step [1/132], lr:1.00e-04 loss: 0.48197460174560547
[2024/03/06 21:56:01] Rank:None, Epoch[11/1200], Step [51/132], lr:1.00e-04 loss: 0.4800296425819397
[2024/03/06 21:56:02] Rank:None, Epoch[11/1200], Step [101/132], lr:1.00e-04 loss: 0.47411462664604187
[2024/03/06 21:56:02] Rank:None, Epoch[11/1200], Step [132/132], lr:1.00e-04 loss: 0.46315786242485046
[2024/03/06 21:56:04] Rank:None, Epoch[12/1200], Step [1/132], lr:1.00e-04 loss: 0.48431119322776794
[2024/03/06 21:56:05] Rank:None, Epoch[12/1200], Step [51/132], lr:1.00e-04 loss: 0.46463415026664734
[2024/03/06 21:56:05] Rank:None, Epoch[12/1200], Step [101/132], lr:1.00e-04 loss: 0.4706280827522278
[2024/03/06 21:56:06] Rank:None, Epoch[12/1200], Step [132/132], lr:1.00e-04 loss: 0.4624844491481781
[2024/03/06 21:56:08] Rank:None, Epoch[13/1200], Step [1/132], lr:1.00e-04 loss: 0.4838534891605377
[2024/03/06 21:56:08] Rank:None, Epoch[13/1200], Step [51/132], lr:1.00e-04 loss: 0.46490392088890076
[2024/03/06 21:56:09] Rank:None, Epoch[13/1200], Step [101/132], lr:1.00e-04 loss: 0.46817684173583984
[2024/03/06 21:56:09] Rank:None, Epoch[13/1200], Step [132/132], lr:1.00e-04 loss: 0.4857991337776184
[2024/03/06 21:56:11] Rank:None, Epoch[14/1200], Step [1/132], lr:1.00e-04 loss: 0.470846563577652
[2024/03/06 21:56:12] Rank:None, Epoch[14/1200], Step [51/132], lr:1.00e-04 loss: 0.47831782698631287
[2024/03/06 21:56:13] Rank:None, Epoch[14/1200], Step [101/132], lr:1.00e-04 loss: 0.48709049820899963
[2024/03/06 21:56:13] Rank:None, Epoch[14/1200], Step [132/132], lr:1.00e-04 loss: 0.4727536141872406
[2024/03/06 21:56:15] Rank:None, Epoch[15/1200], Step [1/132], lr:1.00e-04 loss: 0.48052412271499634
[2024/03/06 21:56:16] Rank:None, Epoch[15/1200], Step [51/132], lr:1.00e-04 loss: 0.485752671957016
[2024/03/06 21:56:16] Rank:None, Epoch[15/1200], Step [101/132], lr:1.00e-04 loss: 0.4835052490234375
[2024/03/06 21:56:17] Rank:None, Epoch[15/1200], Step [132/132], lr:1.00e-04 loss: 0.4639858901500702
[2024/03/06 21:56:19] Rank:None, Epoch[16/1200], Step [1/132], lr:1.00e-04 loss: 0.4659728705883026
[2024/03/06 21:56:20] Rank:None, Epoch[16/1200], Step [51/132], lr:1.00e-04 loss: 0.482027143239975
[2024/03/06 21:56:20] Rank:None, Epoch[16/1200], Step [101/132], lr:1.00e-04 loss: 0.484905481338501
[2024/03/06 21:56:20] Rank:None, Epoch[16/1200], Step [132/132], lr:1.00e-04 loss: 0.48434168100357056
[2024/03/06 21:56:23] Rank:None, Epoch[17/1200], Step [1/132], lr:1.00e-04 loss: 0.47636929154396057
[2024/03/06 21:56:23] Rank:None, Epoch[17/1200], Step [51/132], lr:1.00e-04 loss: 0.46547746658325195
[2024/03/06 21:56:24] Rank:None, Epoch[17/1200], Step [101/132], lr:1.00e-04 loss: 0.4879630208015442
[2024/03/06 21:56:24] Rank:None, Epoch[17/1200], Step [132/132], lr:1.00e-04 loss: 0.4875955581665039
[2024/03/06 21:56:26] Rank:None, Epoch[18/1200], Step [1/132], lr:1.00e-04 loss: 0.4789135158061981
[2024/03/06 21:56:27] Rank:None, Epoch[18/1200], Step [51/132], lr:9.99e-05 loss: 0.4604352116584778
[2024/03/06 21:56:28] Rank:None, Epoch[18/1200], Step [101/132], lr:9.99e-05 loss: 0.46764665842056274
[2024/03/06 21:56:28] Rank:None, Epoch[18/1200], Step [132/132], lr:9.99e-05 loss: 0.45978233218193054
[2024/03/06 21:56:30] Rank:None, Epoch[19/1200], Step [1/132], lr:9.99e-05 loss: 0.4714958667755127
[2024/03/06 21:56:31] Rank:None, Epoch[19/1200], Step [51/132], lr:9.99e-05 loss: 0.46877071261405945
[2024/03/06 21:56:31] Rank:None, Epoch[19/1200], Step [101/132], lr:9.99e-05 loss: 0.48050251603126526
[2024/03/06 21:56:31] Rank:None, Epoch[19/1200], Step [132/132], lr:9.99e-05 loss: 0.4849599003791809
[2024/03/06 21:56:34] Rank:None, Epoch[20/1200], Step [1/132], lr:9.99e-05 loss: 0.48843032121658325
[2024/03/06 21:56:34] Rank:None, Epoch[20/1200], Step [51/132], lr:9.99e-05 loss: 0.45835885405540466
[2024/03/06 21:56:35] Rank:None, Epoch[20/1200], Step [101/132], lr:9.99e-05 loss: 0.48409101366996765
[2024/03/06 21:56:35] Rank:None, Epoch[20/1200], Step [132/132], lr:9.99e-05 loss: 0.4664383828639984
[2024/03/06 21:56:37] Rank:None, Epoch[21/1200], Step [1/132], lr:9.99e-05 loss: 0.4529438018798828
[2024/03/06 21:56:38] Rank:None, Epoch[21/1200], Step [51/132], lr:9.99e-05 loss: 0.4767583906650543
[2024/03/06 21:56:38] Rank:None, Epoch[21/1200], Step [101/132], lr:9.99e-05 loss: 0.4728277325630188
[2024/03/06 21:56:39] Rank:None, Epoch[21/1200], Step [132/132], lr:9.99e-05 loss: 0.47703343629837036
[2024/03/06 21:56:41] Rank:None, Epoch[22/1200], Step [1/132], lr:9.99e-05 loss: 0.4817146360874176
[2024/03/06 21:56:42] Rank:None, Epoch[22/1200], Step [51/132], lr:9.99e-05 loss: 0.48605290055274963
[2024/03/06 21:56:42] Rank:None, Epoch[22/1200], Step [101/132], lr:9.99e-05 loss: 0.4755368232727051
[2024/03/06 21:56:42] Rank:None, Epoch[22/1200], Step [132/132], lr:9.99e-05 loss: 0.4676060676574707
[2024/03/06 21:56:45] Rank:None, Epoch[23/1200], Step [1/132], lr:9.99e-05 loss: 0.4620150029659271
[2024/03/06 21:56:45] Rank:None, Epoch[23/1200], Step [51/132], lr:9.99e-05 loss: 0.48361656069755554
[2024/03/06 21:56:46] Rank:None, Epoch[23/1200], Step [101/132], lr:9.99e-05 loss: 0.4815308749675751
[2024/03/06 21:56:46] Rank:None, Epoch[23/1200], Step [132/132], lr:9.99e-05 loss: 0.4884220063686371
[2024/03/06 21:56:48] Rank:None, Epoch[24/1200], Step [1/132], lr:9.99e-05 loss: 0.4696976840496063
[2024/03/06 21:56:49] Rank:None, Epoch[24/1200], Step [51/132], lr:9.99e-05 loss: 0.46140918135643005
[2024/03/06 21:56:49] Rank:None, Epoch[24/1200], Step [101/132], lr:9.99e-05 loss: 0.4558395445346832
[2024/03/06 21:56:50] Rank:None, Epoch[24/1200], Step [132/132], lr:9.99e-05 loss: 0.4822753965854645
[2024/03/06 21:56:52] Rank:None, Epoch[25/1200], Step [1/132], lr:9.99e-05 loss: 0.47848525643348694
[2024/03/06 21:56:53] Rank:None, Epoch[25/1200], Step [51/132], lr:9.99e-05 loss: 0.45890721678733826
[2024/03/06 21:56:53] Rank:None, Epoch[25/1200], Step [101/132], lr:9.99e-05 loss: 0.45936670899391174
[2024/03/06 21:56:53] Rank:None, Epoch[25/1200], Step [132/132], lr:9.99e-05 loss: 0.4761889576911926
[2024/03/06 21:56:55] Rank:None, Epoch[26/1200], Step [1/132], lr:9.99e-05 loss: 0.45995408296585083
[2024/03/06 21:56:56] Rank:None, Epoch[26/1200], Step [51/132], lr:9.99e-05 loss: 0.4794423282146454
[2024/03/06 21:56:57] Rank:None, Epoch[26/1200], Step [101/132], lr:9.99e-05 loss: 0.4730678200721741
[2024/03/06 21:56:57] Rank:None, Epoch[26/1200], Step [132/132], lr:9.99e-05 loss: 0.48289844393730164
[2024/03/06 21:56:59] Rank:None, Epoch[27/1200], Step [1/132], lr:9.99e-05 loss: 0.47855493426322937
[2024/03/06 21:57:00] Rank:None, Epoch[27/1200], Step [51/132], lr:9.99e-05 loss: 0.47737130522727966
[2024/03/06 21:57:00] Rank:None, Epoch[27/1200], Step [101/132], lr:9.99e-05 loss: 0.4830789566040039
[2024/03/06 21:57:01] Rank:None, Epoch[27/1200], Step [132/132], lr:9.99e-05 loss: 0.48332443833351135
[2024/03/06 21:57:03] Rank:None, Epoch[28/1200], Step [1/132], lr:9.99e-05 loss: 0.47457239031791687
[2024/03/06 21:57:03] Rank:None, Epoch[28/1200], Step [51/132], lr:9.99e-05 loss: 0.47644004225730896
[2024/03/06 21:57:04] Rank:None, Epoch[28/1200], Step [101/132], lr:9.99e-05 loss: 0.4788833558559418
[2024/03/06 21:57:04] Rank:None, Epoch[28/1200], Step [132/132], lr:9.99e-05 loss: 0.4545108377933502
[2024/03/06 21:57:06] Rank:None, Epoch[29/1200], Step [1/132], lr:9.99e-05 loss: 0.4500277042388916
[2024/03/06 21:57:07] Rank:None, Epoch[29/1200], Step [51/132], lr:9.99e-05 loss: 0.4834569990634918
[2024/03/06 21:57:07] Rank:None, Epoch[29/1200], Step [101/132], lr:9.99e-05 loss: 0.4765799939632416
[2024/03/06 21:57:08] Rank:None, Epoch[29/1200], Step [132/132], lr:9.99e-05 loss: 0.4584827423095703
[2024/03/06 21:57:10] Rank:None, Epoch[30/1200], Step [1/132], lr:9.99e-05 loss: 0.4630768895149231
[2024/03/06 21:57:11] Rank:None, Epoch[30/1200], Step [51/132], lr:9.99e-05 loss: 0.4756927490234375
[2024/03/06 21:57:11] Rank:None, Epoch[30/1200], Step [101/132], lr:9.98e-05 loss: 0.47666987776756287
[2024/03/06 21:57:11] Rank:None, Epoch[30/1200], Step [132/132], lr:9.98e-05 loss: 0.45757755637168884
[2024/03/06 21:57:14] Rank:None, Epoch[31/1200], Step [1/132], lr:9.98e-05 loss: 0.463052362203598
[2024/03/06 21:57:14] Rank:None, Epoch[31/1200], Step [51/132], lr:9.98e-05 loss: 0.4650578498840332
[2024/03/06 21:57:15] Rank:None, Epoch[31/1200], Step [101/132], lr:9.98e-05 loss: 0.4780064523220062
[2024/03/06 21:57:15] Rank:None, Epoch[31/1200], Step [132/132], lr:9.98e-05 loss: 0.47875308990478516
[2024/03/06 21:57:17] Rank:None, Epoch[32/1200], Step [1/132], lr:9.98e-05 loss: 0.45306119322776794
[2024/03/06 21:57:18] Rank:None, Epoch[32/1200], Step [51/132], lr:9.98e-05 loss: 0.4741024076938629
[2024/03/06 21:57:18] Rank:None, Epoch[32/1200], Step [101/132], lr:9.98e-05 loss: 0.47369441390037537
[2024/03/06 21:57:19] Rank:None, Epoch[32/1200], Step [132/132], lr:9.98e-05 loss: 0.4774025082588196
[2024/03/06 21:57:21] Rank:None, Epoch[33/1200], Step [1/132], lr:9.98e-05 loss: 0.46386170387268066
[2024/03/06 21:57:21] Rank:None, Epoch[33/1200], Step [51/132], lr:9.98e-05 loss: 0.4514293372631073
[2024/03/06 21:57:22] Rank:None, Epoch[33/1200], Step [101/132], lr:9.98e-05 loss: 0.45903855562210083
[2024/03/06 21:57:22] Rank:None, Epoch[33/1200], Step [132/132], lr:9.98e-05 loss: 0.48307153582572937
[2024/03/06 21:57:24] Rank:None, Epoch[34/1200], Step [1/132], lr:9.98e-05 loss: 0.45502039790153503
[2024/03/06 21:57:25] Rank:None, Epoch[34/1200], Step [51/132], lr:9.98e-05 loss: 0.45974427461624146
[2024/03/06 21:57:25] Rank:None, Epoch[34/1200], Step [101/132], lr:9.98e-05 loss: 0.4783218801021576
[2024/03/06 21:57:26] Rank:None, Epoch[34/1200], Step [132/132], lr:9.98e-05 loss: 0.4715549945831299
[2024/03/06 21:57:28] Rank:None, Epoch[35/1200], Step [1/132], lr:9.98e-05 loss: 0.4591963291168213
[2024/03/06 21:57:29] Rank:None, Epoch[35/1200], Step [51/132], lr:9.98e-05 loss: 0.47756558656692505
[2024/03/06 21:57:29] Rank:None, Epoch[35/1200], Step [101/132], lr:9.98e-05 loss: 0.4687209129333496
[2024/03/06 21:57:29] Rank:None, Epoch[35/1200], Step [132/132], lr:9.98e-05 loss: 0.4753846228122711
[2024/03/06 21:57:32] Rank:None, Epoch[36/1200], Step [1/132], lr:9.98e-05 loss: 0.46920520067214966
[2024/03/06 21:57:32] Rank:None, Epoch[36/1200], Step [51/132], lr:9.98e-05 loss: 0.4608229696750641
[2024/03/06 21:57:33] Rank:None, Epoch[36/1200], Step [101/132], lr:9.98e-05 loss: 0.48088765144348145
[2024/03/06 21:57:33] Rank:None, Epoch[36/1200], Step [132/132], lr:9.98e-05 loss: 0.4759792387485504
[2024/03/06 21:57:35] Rank:None, Epoch[37/1200], Step [1/132], lr:9.98e-05 loss: 0.4746207892894745
[2024/03/06 21:57:36] Rank:None, Epoch[37/1200], Step [51/132], lr:9.98e-05 loss: 0.4748426079750061
[2024/03/06 21:57:36] Rank:None, Epoch[37/1200], Step [101/132], lr:9.98e-05 loss: 0.4590016007423401
[2024/03/06 21:57:37] Rank:None, Epoch[37/1200], Step [132/132], lr:9.98e-05 loss: 0.46741747856140137
[2024/03/06 21:57:39] Rank:None, Epoch[38/1200], Step [1/132], lr:9.98e-05 loss: 0.4714260995388031
[2024/03/06 21:57:40] Rank:None, Epoch[38/1200], Step [51/132], lr:9.98e-05 loss: 0.4496100842952728
[2024/03/06 21:57:40] Rank:None, Epoch[38/1200], Step [101/132], lr:9.98e-05 loss: 0.4571063220500946
[2024/03/06 21:57:40] Rank:None, Epoch[38/1200], Step [132/132], lr:9.98e-05 loss: 0.4622853696346283
[2024/03/06 21:57:43] Rank:None, Epoch[39/1200], Step [1/132], lr:9.98e-05 loss: 0.46633490920066833
[2024/03/06 21:57:43] Rank:None, Epoch[39/1200], Step [51/132], lr:9.97e-05 loss: 0.47892045974731445
[2024/03/06 21:57:44] Rank:None, Epoch[39/1200], Step [101/132], lr:9.97e-05 loss: 0.45903435349464417
[2024/03/06 21:57:44] Rank:None, Epoch[39/1200], Step [132/132], lr:9.97e-05 loss: 0.4781937301158905
[2024/03/06 21:57:46] Rank:None, Epoch[40/1200], Step [1/132], lr:9.97e-05 loss: 0.4709310531616211
[2024/03/06 21:57:47] Rank:None, Epoch[40/1200], Step [51/132], lr:9.97e-05 loss: 0.46099933981895447
[2024/03/06 21:57:47] Rank:None, Epoch[40/1200], Step [101/132], lr:9.97e-05 loss: 0.4761536121368408
[2024/03/06 21:57:48] Rank:None, Epoch[40/1200], Step [132/132], lr:9.97e-05 loss: 0.47496891021728516
[2024/03/06 21:57:50] Rank:None, Epoch[41/1200], Step [1/132], lr:9.97e-05 loss: 0.45719024538993835
[2024/03/06 21:57:50] Rank:None, Epoch[41/1200], Step [51/132], lr:9.97e-05 loss: 0.4673062264919281
[2024/03/06 21:57:51] Rank:None, Epoch[41/1200], Step [101/132], lr:9.97e-05 loss: 0.4472667872905731
[2024/03/06 21:57:51] Rank:None, Epoch[41/1200], Step [132/132], lr:9.97e-05 loss: 0.47791561484336853
[2024/03/06 21:57:54] Rank:None, Epoch[42/1200], Step [1/132], lr:9.97e-05 loss: 0.4495467245578766
[2024/03/06 21:57:54] Rank:None, Epoch[42/1200], Step [51/132], lr:9.97e-05 loss: 0.4629379212856293
[2024/03/06 21:57:55] Rank:None, Epoch[42/1200], Step [101/132], lr:9.97e-05 loss: 0.4691489636898041
[2024/03/06 21:57:55] Rank:None, Epoch[42/1200], Step [132/132], lr:9.97e-05 loss: 0.47477418184280396
[2024/03/06 21:57:57] Rank:None, Epoch[43/1200], Step [1/132], lr:9.97e-05 loss: 0.4678792655467987
[2024/03/06 21:57:58] Rank:None, Epoch[43/1200], Step [51/132], lr:9.97e-05 loss: 0.45272156596183777
[2024/03/06 21:57:58] Rank:None, Epoch[43/1200], Step [101/132], lr:9.97e-05 loss: 0.4755760133266449
[2024/03/06 21:57:59] Rank:None, Epoch[43/1200], Step [132/132], lr:9.97e-05 loss: 0.47807809710502625
[2024/03/06 21:58:01] Rank:None, Epoch[44/1200], Step [1/132], lr:9.97e-05 loss: 0.4686853587627411
[2024/03/06 21:58:02] Rank:None, Epoch[44/1200], Step [51/132], lr:9.97e-05 loss: 0.4695079028606415
[2024/03/06 21:58:02] Rank:None, Epoch[44/1200], Step [101/132], lr:9.97e-05 loss: 0.47558990120887756
[2024/03/06 21:58:02] Rank:None, Epoch[44/1200], Step [132/132], lr:9.97e-05 loss: 0.4661920666694641
[2024/03/06 21:58:05] Rank:None, Epoch[45/1200], Step [1/132], lr:9.97e-05 loss: 0.4724217355251312
[2024/03/06 21:58:05] Rank:None, Epoch[45/1200], Step [51/132], lr:9.97e-05 loss: 0.47730380296707153
[2024/03/06 21:58:06] Rank:None, Epoch[45/1200], Step [101/132], lr:9.97e-05 loss: 0.4678114950656891
[2024/03/06 21:58:06] Rank:None, Epoch[45/1200], Step [132/132], lr:9.97e-05 loss: 0.4659799635410309
[2024/03/06 21:58:08] Rank:None, Epoch[46/1200], Step [1/132], lr:9.97e-05 loss: 0.46688610315322876
[2024/03/06 21:58:09] Rank:None, Epoch[46/1200], Step [51/132], lr:9.96e-05 loss: 0.45591220259666443
[2024/03/06 21:58:09] Rank:None, Epoch[46/1200], Step [101/132], lr:9.96e-05 loss: 0.45877605676651
[2024/03/06 21:58:10] Rank:None, Epoch[46/1200], Step [132/132], lr:9.96e-05 loss: 0.4726848304271698
